名詞,名詞数,動詞,動詞数,形容詞,形容詞数
確率,1,,,,
限り,1,,,,
当たり,1,,,,
無駄,1,,,,
繰り返し,1,,,,
昨日,1,,,,
撹乱,1,,,,
二,2,,,,
重,2,,,,
スパイ,6,,,,
放題,1,,,,
粛清,1,,,,
協力,6,,,,
共闘,1,,,,
国語,1,,,,
教師,1,,,,
たん,1,,,,
中学,1,,,,
高校,2,,,,
取得,1,,,,
教育,1,,,,
実習,1,,,,
キツ,1,,,,
対人,1,,,,
網,1,,,,
逆,2,,,,
やつ,4,,,,
不眠,1,,,,
不休,1,,,,
若手,1,,,,
共有,1,,,,
昼,1,,,,
夜,1,,,,
男性,2,,,,
犯罪,2,,,,
たび,2,,,,
チャンス,1,,,,
生き物,1,,,,
続き,1,,,,
風呂,3,,,,
場,4,,,,
危険,2,,,,
さくら,1,,,,
ちゃん,8,,,,
留守番,1,,,,
とき,1,,,,
避難,5,,,,
所,5,,,,
悪意,1,,,,
以降,1,,,,
フォロー,1,,,,
今後,3,,,,
連携,1,,,,
動き,1,,,,
俺,1,,,,
行動,2,,,,
こいつ,1,,,,
ら,1,,,,
馬鹿,1,,,,
内容,1,,,,
むら,2,,,,
中退,1,,,,
コンプレックス,1,,,,
観,2,,,,
立証,6,,,,
責任,7,,,,
言葉,4,,,,
用語,2,,,,
真偽,2,,,,
不明,4,,,,
不利,2,,,,
判断,5,,,,
民事,2,,,,
法,4,,,,
入門,2,,,,
書,2,,,,
嫌がらせ,2,,,,
流れ,3,,,,
処理,4,,,,
勢力,2,,,,
純粋,2,,,,
公金,2,,,,
チェック,3,,,,
騒動,2,,,,
メイン,2,,,,
ストリーム,2,,,,
バック,2,,,,
ラッシュ,2,,,,
差別,2,,,,
現在,3,,,,
会話,2,,,,
皆様,4,,,,
失礼,2,,,,
申し訳,3,,,,
悪気,2,,,,
容赦,3,,,,
原因,2,,,,
使用,3,,,,
本日,3,,,,
接続,2,,,,
変更,2,,,,
雑魚,1,,,,
時間,2,,,,
選,2,,,,
真剣,2,,,,
すぎ,2,,,,
バカ,1,,,,
世間,1,,,,
知らず,1,,,,
苦手,1,,,,
思い込み,2,,,,
頭,5,,,,
非常,2,,,,
キレ,1,,,,
戦略,1,,,,
大半,2,,,,
狙い,1,,,,
通り,2,,,,
勘違い,1,,,,
論点,1,,,,
美食,1,,,,
家,2,,,,
申立,1,,,,
大衆,1,,,,
本件,1,,,,
事実,2,,,,
唯一,1,,,,
鑑定,2,,,,
士,2,,,,
東大,2,,,,
卒,2,,,,
レッテル,1,,,,
リーダ,1,,,,
使い方,1,,,,
洽,1,,,,
覧,1,,,,
初心者,1,,,,
コンパクト,1,,,,
紹介,2,,,,
旅団,5,,,,
開発,1,,,,
日めくり,1,,,,
名言,1,,,,
カレンダー,1,,,,
楽しみ,3,,,,
お知らせ,1,,,,
団長,4,,,,
たま,1,,,,
会長,8,,,,
かき,2,,,,
つば,2,,,,
勇退,1,,,,
幹部,5,,,,
選挙,1,,,,
開催,2,,,,
名,4,,,,
選出,1,,,,
規定,1,,,,
原液,1,,,,
留任,1,,,,
対,2,,,,
完敗,1,,,,
存在,1,,,,
架空,1,,,,
ごっこ,1,,,,
遊び,1,,,,
法務省,1,,,,
制度,2,,,,
四,1,,,,
騎士,1,,,,
皮肉,2,,,,
高橋,4,,,,
シンプル,1,,,,
想定,1,,,,
オウンゴール,1,,,,
結論,1,,,,
見方,1,,,,
そちら,1,,,,
正解,1,,,,
想像,1,,,,
他人,1,,,,
自殺,1,,,,
親指,2,,,,
殺人,1,,,,
さっき,2,,,,
誰か,1,,,,
支援,1,,,,
完全,1,,,,
友達,3,,,,
自身,4,,,,
保護,1,,,,
当事者,1,,,,
本当,2,,,,
自然,2,,,,
当たり前,1,,,,
説明,3,,,,
粘着,1,,,,
不思議,1,,,,
なに,2,,,,
安心,1,,,,
社会,4,,,,
愚痴,1,,,,
疑問,1,,,,
どこ,2,,,,
ガス,1,,,,
近畿,1,,,,
地方,1,,,,
在住,1,,,,
誤認,1,,,,
衆議院,1,,,,
議員,1,,,,
会館,1,,,,
室,1,,,,
届出,1,,,,
不作為,1,,,,
違法,2,,,,
こっち,2,,,,
どっち,1,,,,
さ,4,,,,
通念,1,,,,
限度,1,,,,
動機,1,,,,
目的,4,,,,
考慮,1,,,,
待ち,1,,,,
協会,1,,,,
認定,3,,,,
愛飲,1,,,,
皆さん,4,,,,
偉大,1,,,,
ボス,2,,,,
乾杯,1,,,,
カラダ,1,,,,
ピース,1,,,,
一番,1,,,,
楽,1,,,,
間違い,1,,,,
新人,1,,,,
緊急,1,,,,
凍結,1,,,,
休止,1,,,,
椅子,1,,,,
人材,1,,,,
ご存知,2,,,,
教示,1,,,,
自薦,1,,,,
他薦,1,,,,
手紙,2,,,,
用事,1,,,,
なあに,1,,,,
本部,1,,,,
リー,4,,,,
ガル,4,,,,
農業,1,,,,
サヨナラ,1,,,,
返信,2,,,,
人生,1,,,,
初,1,,,,
我慢,1,,,,
状態,2,,,,
投稿,1,,,,
海外,1,,,,
知識,1,,,,
黒,1,,,,
塗り,1,,,,
まま,1,,,,
回復,2,,,,
子供,1,,,,
拒否,1,,,,
残念,1,,,,
結果,1,,,,
溝口,1,,,,
対立,1,,,,
思考,1,,,,
実験,1,,,,
有意義,1,,,,
共産,2,,,,
党員,2,,,,
異様,1,,,,
主導,2,,,,
どちら,1,,,,
相応,1,,,,
むしろ,1,,,,
中心,1,,,,
弊,1,,,,
学,2,,,,
瑕疵,1,,,,
蓋然性,1,,,,
うえ,1,,,,
平易,1,,,,
不正確,1,,,,
深夜,2,,,,
部分,3,,,,
災害,1,,,,
被災,1,,,,
あなた,2,,,,
追及,2,,,,
思い,1,,,,
対話,2,,,,
お互い,1,,,,
溝,1,,,,
一方,1,,,,
鍵,1,,,,
来週,1,,,,
特許,2,,,,
基本,2,,,,
プロフェッショナル,1,,,,
秘書,1,,,,
激怒,2,,,,
元気,1,,,,
急募,1,,,,
今日,1,,,,
合同,1,,,,
特別,1,,,,
作戦,1,,,,
作業,2,,,,
完了,1,,,,
ストレス,1,,,,
一時,1,,,,
離脱,1,,,,
残り,1,,,,
宛,1,,,,
お願い,2,,,,
以前,2,,,,
立憲,1,,,,
民主党,1,,,,
対策,3,,,,
条例,1,,,,
実現,1,,,,
長年,1,,,,
弱者,1,,,,
伊久間,1,,,,
高木,1,,,,
本,1,,,,
くん,1,,,,
制定,1,,,,
仲,1,,,,
個性,1,,,,
最近,3,,,,
一覧,2,,,,
提出,1,,,,
済み,1,,,,
摘発,1,,,,
この世,1,,,,
すべて,1,,,,
神,1,,,,
レベル,1,,,,
レス,1,,,,
逆転,2,,,,
隠し,1,,,,
玉,1,,,,
最後,1,,,,
出し,1,,,,
時機,1,,,,
防御,1,,,,
却下,1,,,,
決まり,1,,,,
現実,2,,,,
ゲーム,2,,,,
かこ,1,,,,
結審,1,,,,
控訴,1,,,,
